項名,移替元所管,移替元組織,歳出予算現額_千円,移替先所管,移替額_千円,公式移替額計_千円,差引歳出予算現額_千円
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,会計検査院,601845,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,内閣,4452253,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,内閣府,51662885,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,総務省,11672134,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,文部科学省,13316012,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,法務省,91682609,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,外務省,22078676,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,財務省,157057908,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,厚生労働省,41598407,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,農林水産省,18875023,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,経済産業省,14093879,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,防衛省,30427480,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,国土交通省,46586603,509690849,176048747
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,685739597,環境省,5585127,509690849,176048747
科学技術イノベーション創造推進費,内閣府,科学技術・イノベーション推進事務局,77243878,内閣府,431774,73198357,4045521
科学技術イノベーション創造推進費,内閣府,科学技術・イノベーション推進事務局,77243878,総務省,2031560,73198357,4045521
科学技術イノベーション創造推進費,内閣府,科学技術・イノベーション推進事務局,77243878,文部科学省,31942151,73198357,4045521
科学技術イノベーション創造推進費,内閣府,科学技術・イノベーション推進事務局,77243878,厚生労働省,11428540,73198357,4045521
科学技術イノベーション創造推進費,内閣府,科学技術・イノベーション推進事務局,77243878,農林水産省,3899300,73198357,4045521
科学技術イノベーション創造推進費,内閣府,科学技術・イノベーション推進事務局,77243878,経済産業省,17313943,73198357,4045521
科学技術イノベーション創造推進費,内閣府,科学技術・イノベーション推進事務局,77243878,国土交通省,4501089,73198357,4045521
科学技術イノベーション創造推進費,内閣府,科学技術・イノベーション推進事務局,77243878,環境省,1650000,73198357,4045521
