name,initial_sections,supplement_sections,settlement_sections,initial,supplement_net,revised_after_supplement,settlement_budget,carryin,reserve,reallocation,transfer,current,spent,carryout,unused,post_supplement_gap,current_check,budget_check,execution_check
内閣官房共通費,1,1,2,37741585000,36116860000,73858445000,73858445000,15499477346,0,0,0,89357922346,52955621087,32480734298,3921566961,0,0,0,0
初等中等教育振興費,2,2,3,521096741000,37944669000,559041410000,559041410000,209283720894,0,0,0,768325130894,718712035979,17391709816,32221385099,0,0,0,0
北海道特定特別総合開発事業推進費,1,1,3,4325000000,0,4325000000,4325000000,0,0,0,0,4325000000,4181108195,143880000,11805,0,0,0,0
北海道開発事業費,1,1,6,511908047000,173390456000,685298503000,685298503000,174389545122,8573798000,16617000,0,868278463122,677216396473,189776090058,1285976591,0,0,0,0
南極地域観測事業費,1,1,7,4743571000,-1653000,4741918000,4741918000,0,0,0,0,4741918000,4123277156,270238100,348402744,0,0,0,0
国際観光旅客税財源観光振興費,1,1,5,32993333000,0,32993333000,32993333000,2037585198,0,0,0,35030918198,26104315918,5020821206,3905781074,0,0,0,0
地方創生地域産業基盤整備事業推進費,1,1,3,0,9000000000,9000000000,9000000000,6000000000,0,0,0,15000000000,3767542700,11228124300,4333000,0,0,0,0
地方創生基盤整備事業推進費,1,1,6,39777000000,0,39777000000,39777000000,21807503232,0,0,0,61584503232,38873061699,22463125061,248316472,0,0,0,0
地球環境保全等試験研究費,1,1,7,210752000,0,210752000,210752000,0,0,0,0,210752000,199722273,0,11029727,0,0,0,0
大学等修学支援費,1,1,2,543768827000,0,543768827000,543768827000,0,0,0,0,543768827000,305963750525,0,237805076475,0,0,0,0
宇宙開発利用推進費,1,1,7,2100000000,4999500000,7099500000,7099500000,13874494786,0,0,0,20973994786,15440290679,5241275689,292428418,0,0,0,0
情報通信技術調達等適正・効率化推進費,1,1,75,480327293000,205412304000,685739597000,685739597000,211255944705,0,0,0,896995541705,636331790092,238316675953,22347075660,0,0,0,0
放射能調査研究費,1,1,8,1280502000,206466000,1486968000,1486968000,235297220,0,0,0,1722265220,1445435438,234586000,42243782,0,0,0,0
水資源開発事業費,1,1,4,14494996000,1689000000,16183996000,16183996000,3906607000,0,0,0,20090603000,14704501002,5373691000,12410998,0,0,0,0
水道施設整備費,1,1,2,3697144000,0,3697144000,3697144000,5837371000,0,0,0,9534515000,7011929426,581121000,1941464574,0,0,0,0
沖縄保健衛生諸費,1,1,1,1620000,0,1620000,1620000,0,0,0,0,1620000,1246088,0,373912,0,0,0,0
沖縄北部連携促進特別振興事業費,1,1,3,4450000000,0,4450000000,4450000000,3309466000,0,0,0,7759466000,4467267449,2350819000,941379551,0,0,0,0
沖縄北部連携促進特別振興対策特定開発事業推進費,1,1,2,2619000000,0,2619000000,2619000000,1868150458,0,0,0,4487150458,2699040238,1731451719,56658501,0,0,0,0
沖縄国立大学法人施設整備費,1,1,1,14262327000,0,14262327000,14262327000,19361109871,0,0,0,33623436871,33623436871,0,0,0,0,0,0
沖縄振興交付金事業推進費,1,1,8,76255375000,6238869000,82494244000,82494244000,23532736426,0,0,0,106026980426,77752359874,27169834974,1104785578,0,0,0,0
沖縄教育振興事業費,1,1,2,4440000000,1320625000,5760625000,5760625000,2139334000,0,0,0,7899959000,3435417000,4450455000,14087000,0,0,0,0
沖縄開発事業費,1,1,7,102131581000,15453495000,117585076000,117585076000,59800949848,68590000,0,0,177454615848,113042455263,63572358385,839802200,0,0,0,0
物価高騰対応地方創生推進費,1,1,2,0,1735142370000,1735142370000,1735142370000,1676823680993,0,0,0,3411966050993,2151949970033,1230624500380,29391580580,0,0,0,0
特定国有財産整備費,1,1,2,9169059000,0,9169059000,9169059000,4728212792,0,0,0,13897271792,10327613405,3554579352,15079035,0,0,0,0
特定地域づくり事業推進費,1,1,2,560000000,0,560000000,560000000,0,0,0,0,560000000,404386047,0,155613953,0,0,0,0
科学技術イノベーション創造推進費,1,1,16,55500000000,21743878000,77243878000,77243878000,10607639516,0,0,0,87851517516,81520802542,5359085300,971629674,0,0,0,0
脱炭素成長型経済構造移行推進エネルギー対策特別会計へ繰入,1,2,2,0,33202561000,33202561000,33202561000,0,0,0,0,33202561000,33202560085,0,915,0,0,0,0
防災・減災対策等強化事業推進費,1,1,5,13886000000,0,13886000000,13886000000,9520135184,0,0,0,23406135184,13423312417,9855166767,127656000,0,0,0,0
離島振興事業費,1,1,6,56188000000,16607240000,72795240000,72795240000,40387872216,0,0,0,113183112216,70857934527,41838306260,486871429,0,0,0,0
