accountType,ministry,organization,specialAccount,subAccount,agency,sectionCode,sectionName,inInitial,inSupplement,inSettlement,initialAmount,supplementAmount,settlementAmount,initialDetailCount,supplementDetailCount,settlementDetailCount,supplementHasOutsideN,membershipPattern
agency,,,,,株式会社国際協力銀行,01,事業損金,1,0,1,1686381712000,,1686381712000,17,,15,,I-F
agency,,,,,株式会社国際協力銀行,09,予備費,1,0,1,235000000,,235000000,2,,1,,I-F
agency,,,,,沖縄振興開発金融公庫,01,事業損金,1,0,1,10938731000,,10938731000,17,,15,,I-F
agency,,,,,沖縄振興開発金融公庫,09,予備費,1,0,1,150000000,,150000000,2,,1,,I-F
agency,,,,,独立行政法人国際協力機構有償資金協力部門,01,事業損金,1,0,1,181993226000,,181993226000,16,,14,,I-F
agency,,,,,独立行政法人国際協力機構有償資金協力部門,09,予備費,1,0,1,140600000,,140600000,2,,1,,I-F
agency,,,,中小企業者向け業務,株式会社日本政策金融公庫,01,事業損金,1,0,1,69157095000,,69157095000,17,,15,,I-F
agency,,,,中小企業者向け業務,株式会社日本政策金融公庫,09,予備費,1,0,1,640000000,,640000000,2,,1,,I-F
agency,,,,信用保険等業務,株式会社日本政策金融公庫,01,事業損金,1,0,1,5205835000,,5205835000,14,,13,,I-F
agency,,,,信用保険等業務,株式会社日本政策金融公庫,02,保険費,1,0,1,840180693000,,840180693000,3,,2,,I-F
agency,,,,信用保険等業務,株式会社日本政策金融公庫,09,予備費,1,0,1,260000000,,260000000,2,,1,,I-F
agency,,,,危機対応円滑化業務,株式会社日本政策金融公庫,01,事業損金,1,0,1,10768273000,,10768273000,17,,15,,I-F
agency,,,,危機対応円滑化業務,株式会社日本政策金融公庫,02,補償金,1,0,1,49281539000,,49281539000,1,,1,,I-F
agency,,,,危機対応円滑化業務,株式会社日本政策金融公庫,03,利子補給金,1,0,1,11074397000,,11074397000,1,,1,,I-F
agency,,,,危機対応円滑化業務,株式会社日本政策金融公庫,09,予備費,1,0,1,9000000,,9000000,2,,1,,I-F
agency,,,,国民一般向け業務,株式会社日本政策金融公庫,01,事業損金,1,0,1,134469432000,,134469432000,17,,15,,I-F
agency,,,,国民一般向け業務,株式会社日本政策金融公庫,09,予備費,1,0,1,1447000000,,1447000000,2,,1,,I-F
agency,,,,特定事業等促進円滑化業務,株式会社日本政策金融公庫,01,事業損金,1,0,1,6100974000,,6100974000,15,,14,,I-F
agency,,,,特定事業等促進円滑化業務,株式会社日本政策金融公庫,02,利子補給金,1,0,1,400000000,,400000000,1,,1,,I-F
agency,,,,特定事業等促進円滑化業務,株式会社日本政策金融公庫,09,予備費,1,0,1,5000000,,5000000,2,,1,,I-F
agency,,,,農林水産業者向け業務,株式会社日本政策金融公庫,01,事業損金,1,0,1,51397759000,,51397759000,17,,15,,I-F
