side,account,ministry,org,code,name,amount,category,extra,令和6年度予算総則15条_公式移替一致,公式移替元項掲載
決算のみ,一般会計,デジタル庁,デジタル庁,292,科学技術イノベーション創造推進費,0,同一項名が別所管・組織に存在,,False,True
決算のみ,一般会計,会計検査院,会計検査院,2,会計検査院施設費,314468000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,会計検査院,会計検査院,829,情報通信技術調達等適正・効率化推進費,601845826,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣,人事院,829,情報通信技術調達等適正・効率化推進費,272387300,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣,内閣官房,831,情報通信技術調達等適正・効率化推進費,4017271309,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣,内閣法制局,830,情報通信技術調達等適正・効率化推進費,162595125,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,こども家庭庁,656,科学技術イノベーション創造推進費,20774000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,こども家庭庁,842,情報通信技術調達等適正・効率化推進費,3430305036,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,こども家庭庁,856,初等中等教育振興費,0,同一項名が別所管・組織に存在,,False,False
決算のみ,一般会計,内閣府,こども家庭庁,873,児童福祉施設整備費,0,単純対応なし,決算のみ・0円,False,False
決算のみ,一般会計,内閣府,カジノ管理委員会,833,情報通信技術調達等適正・効率化推進費,641573470,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,個人情報保護委員会,222,個人情報保護委員会施設費,151668000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,内閣府,個人情報保護委員会,835,情報通信技術調達等適正・効率化推進費,1209588650,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,公正取引委員会,122,公正取引委員会施設費,1310408000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,内閣府,公正取引委員会,836,情報通信技術調達等適正・効率化推進費,373597422,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,内閣本府,59,独立行政法人国立公文書館施設整備費,181528000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,内閣府,内閣本府,289,地域経済活性化支援費,3100000000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,内閣府,内閣本府,829,情報通信技術調達等適正・効率化推進費,5931700328,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,内閣本府,860,内閣官房共通費,0,同一項名が別所管・組織に存在,,False,False
決算のみ,一般会計,内閣府,地方創生推進事務局,837,情報通信技術調達等適正・効率化推進費,3168000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,官民人材交流センター,839,情報通信技術調達等適正・効率化推進費,49731625,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,宮内庁,841,情報通信技術調達等適正・効率化推進費,297106158,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,日本学術会議,838,情報通信技術調達等適正・効率化推進費,7058260,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,沖縄総合事務局,831,情報通信技術調達等適正・効率化推進費,894071706,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,消費者庁,840,情報通信技術調達等適正・効率化推進費,338724320,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,科学技術・イノベーション推進事務局,830,情報通信技術調達等適正・効率化推進費,621708023,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,総合海洋政策推進事務局,263,海洋開発等重点戦略推進費,678914000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,内閣府,警察庁,601,沖縄振興交付金事業推進費,35046000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,警察庁,657,科学技術イノベーション創造推進費,411000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,警察庁,832,情報通信技術調達等適正・効率化推進費,34130307372,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,内閣府,金融庁,153,金融庁施設費,932666000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,内閣府,金融庁,834,情報通信技術調達等適正・効率化推進費,3734245609,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,中央労働委員会,836,情報通信技術調達等適正・効率化推進費,6861547,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,厚生労働本省,11,独立行政法人国立病院機構施設整備費,6475812000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,厚生労働省,厚生労働本省,35,水道施設整備費,0,同一項名が別所管・組織に存在,,False,False
決算のみ,一般会計,厚生労働省,厚生労働本省,191,水道施設災害復旧事業費,0,単純対応なし,決算のみ・0円,False,False
決算のみ,一般会計,厚生労働省,厚生労働本省,195,生活基盤施設耐震化等対策費,0,単純対応なし,決算のみ・0円,False,False
決算のみ,一般会計,厚生労働省,厚生労働本省,601,沖縄振興交付金事業推進費,1856880000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,厚生労働本省,642,沖縄保健衛生諸費,1620000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,厚生労働本省,645,沖縄開発事業費,0,同一項名が別所管・組織に存在,,False,True
決算のみ,一般会計,厚生労働省,厚生労働本省,656,科学技術イノベーション創造推進費,11428540000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,厚生労働本省,721,水資源開発事業費,0,同一項名が別所管・組織に存在,,False,True
決算のみ,一般会計,厚生労働省,厚生労働本省,739,離島振興事業費,0,同一項名が別所管・組織に存在,,False,True
決算のみ,一般会計,厚生労働省,厚生労働本省,745,北海道開発事業費,0,同一項名が別所管・組織に存在,,False,True
決算のみ,一般会計,厚生労働省,厚生労働本省,826,大学等修学支援費,264115000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,厚生労働本省,829,情報通信技術調達等適正・効率化推進費,39452627895,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,厚生労働本省試験研究機関,792,放射能調査研究費,21486000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,厚生労働本省試験研究機関,832,情報通信技術調達等適正・効率化推進費,472778398,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,国立ハンセン病療養所,831,情報通信技術調達等適正・効率化推進費,87011503,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,国立障害者リハビリテーションセンター,833,情報通信技術調達等適正・効率化推進費,496339475,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,地方厚生局,834,情報通信技術調達等適正・効率化推進費,240666583,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,厚生労働省,検疫所,830,情報通信技術調達等適正・効率化推進費,842121765,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,北海道開発局,833,情報通信技術調達等適正・効率化推進費,2436956191,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土交通本省,380,独立行政法人海技教育機構船舶建造費,55000000,単純対応なし,補正で新設,False,False
決算のみ,一般会計,国土交通省,国土交通本省,601,沖縄振興交付金事業推進費,29422824000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土交通本省,617,宇宙開発利用推進費,365000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土交通本省,645,沖縄開発事業費,95968590000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土交通本省,648,沖縄北部連携促進特別振興対策特定開発事業推進費,2457640000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土交通本省,656,科学技術イノベーション創造推進費,4157689000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土交通本省,674,地方創生地域産業基盤整備事業推進費,8175000000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土交通本省,687,特定国有財産整備費,4342443000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土交通本省,815,地方創生基盤整備事業推進費,26011776000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土交通本省,829,情報通信技術調達等適正・効率化推進費,17256441201,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土交通本省,859,生活基盤施設耐震化等対策費,0,単純対応なし,決算のみ・0円,False,False
決算のみ,一般会計,国土交通省,国土交通本省,868,水道施設災害復旧事業費,0,単純対応なし,決算のみ・0円,False,False
決算のみ,一般会計,国土交通省,国土地理院,701,南極地域観測事業費,47962000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土地理院,831,情報通信技術調達等適正・効率化推進費,481972280,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土技術政策総合研究所,657,科学技術イノベーション創造推進費,251900000,同一項名が別所管・組織に存在,,True,True
決算のみ,一般会計,国土交通省,国土技術政策総合研究所,830,情報通信技術調達等適正・効率化推進費,1017868442,同一項名が別所管・組織に存在,,True,True
