side,account,ministry,org,code,name,amount,category,extra,令和6年度予算総則15条_公式移替一致,公式移替元項掲載,統合分類
決算のみ,一般会計,会計検査院,会計検査院,2,会計検査院施設費,314468000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,内閣府,こども家庭庁,873,児童福祉施設整備費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補
決算のみ,一般会計,内閣府,個人情報保護委員会,222,個人情報保護委員会施設費,151668000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,内閣府,公正取引委員会,122,公正取引委員会施設費,1310408000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,内閣府,内閣本府,59,独立行政法人国立公文書館施設整備費,181528000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,内閣府,内閣本府,289,地域経済活性化支援費,3100000000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,内閣府,総合海洋政策推進事務局,263,海洋開発等重点戦略推進費,678914000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,内閣府,金融庁,153,金融庁施設費,932666000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,厚生労働省,厚生労働本省,11,独立行政法人国立病院機構施設整備費,6475812000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,厚生労働省,厚生労働本省,191,水道施設災害復旧事業費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補
決算のみ,一般会計,厚生労働省,厚生労働本省,195,生活基盤施設耐震化等対策費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補
決算のみ,一般会計,国土交通省,国土交通本省,380,独立行政法人海技教育機構船舶建造費,55000000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,国土交通省,国土交通本省,859,生活基盤施設耐震化等対策費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補
決算のみ,一般会計,国土交通省,国土交通本省,868,水道施設災害復旧事業費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補
決算のみ,一般会計,国土交通省,気象庁,235,海洋気象観測船建造費,7137595000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,国土交通省,海上保安庁,265,船舶交通安全基盤災害復旧事業工事諸費,17124000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,文部科学省,文化庁,94,文化庁施設費,96349000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,文部科学省,文化庁,99,独立行政法人日本芸術文化振興会出資,20000000000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,文部科学省,文部科学本省,56,独立行政法人大学入試センター施設整備費,209567000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,文部科学省,文部科学本省,60,独立行政法人国立女性教育会館施設整備費,100724000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,環境省,環境本省,17,環境調査研修所施設費,25653000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,環境省,環境本省,27,自然公園等施設災害復旧事業費,526000000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,経済産業省,経済産業本省,21,独立行政法人日本貿易振興機構施設整備費,158637000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,経済産業省,経済産業本省,22,半導体・人工知能関連技術基盤強化対策費,1305353732000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,経済産業省,資源エネルギー庁,89,独立行政法人エネルギー・金属鉱物資源機構出資,67500000000,同一項名が別会計に存在,,False,False,会計区分変更・別会計同名
決算のみ,一般会計,経済産業省,資源エネルギー庁,90,電源利用対策費エネルギー対策特別会計へ繰入,11145311000,単純対応なし,補正で新設,False,False,追加一次資料照合
決算のみ,一般会計,総務省,総務本省,664,新型コロナウイルス感染症対応地方創生推進費,0,単純対応なし,決算のみ・0円,False,False,前年度繰越候補
決算のみ,一般会計,財務省,財務本省,66,防衛力強化資金へ繰入,109609560000,同一範囲・同一項コード（名称差）,,False,False,名称変更（実質同一項）
決算のみ,一般会計,農林水産省,水産庁,148,漁港施設災害復旧事業工事諸費,173000,単純対応なし,補正で新設,False,False,補正新設候補
決算のみ,一般会計,農林水産省,農林水産本省,7,独立行政法人農林水産消費安全技術センター施設整備費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,602,東日本大震災復興支援対策費,4032861000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,641,地域活性化等復興政策費,5930567000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,643,治安復興政策費,15174000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,644,治安復興事業費,300844000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,646,消費生活復興政策費,285422000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,647,生活基盤行政復興政策費,10185000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,649,財務行政復興事業費,50000000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,650,教育・科学技術等復興政策費,7838957000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,651,教育・科学技術等復興政策費,205483000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,652,教育・科学技術等復興事業費,32049000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,656,社会保障等復興政策費,6918146000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,664,社会保障等復興事業費,694736000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,673,農林水産業復興政策費,6717108000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,674,農林水産業復興政策費,1917524000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,675,農林水産業復興政策費,4108528000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,676,農林水産業復興政策費,9113422000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,677,農林水産業復興事業費,2362500000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,678,農林水産業復興事業費,821354000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,680,経済・産業及エネルギー安定供給確保等復興政策費,28497874000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,684,経済・産業及エネルギー安定供給確保等復興政策費,399593000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,685,経済・産業及エネルギー安定供給確保等復興事業費,204599000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,691,東日本大震災復興独立行政法人中小企業基盤整備機構運営費,184736000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,692,住宅・地域公共交通等復興政策費,129807000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,693,住宅・地域公共交通等復興政策費,765136000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
決算のみ,特別会計,国会、裁判所、会計検査院、内閣、内閣府、デジタル庁、復興庁、総務省、法務省、外務省、財務省、文部科学省、厚生労働省、農林水産省、経済産業省、国土交通省、環境省及び防衛省,東日本大震災復興,694,環境保全復興政策費,12121235000,同一範囲・同一項名（項コード差）,,False,False,コード体系差（実質同一項）
