name,sender_ministry,sender_org,sender_code,initial_amount,receiver_ministry,receiver_org,receiver_code,same_section,receiver_budget,receiver_transfer,receiver_current,receiver_spent
内閣官房共通費,内閣,内閣官房,001,37741585000,内閣,内閣官房,001,1,73858445000,-700540000,88657382346,52395787348
内閣官房共通費,内閣,内閣官房,001,37741585000,内閣府,内閣本府,860,0,0,700540000,700540000,559833739
初等中等教育振興費,文部科学省,文部科学本省,006,521077452000,内閣府,こども家庭庁,856,0,0,0,479713000,479713000
初等中等教育振興費,文部科学省,文部科学本省,006,521077452000,文部科学省,文部科学本省,006,1,559022121000,0,767826128894,718217868847
初等中等教育振興費,文部科学省,文部科学本省,006,521077452000,文部科学省,スポーツ庁,102,0,19289000,0,19289000,14454132
初等中等教育振興費,文部科学省,スポーツ庁,102,19289000,内閣府,こども家庭庁,856,0,0,0,479713000,479713000
初等中等教育振興費,文部科学省,スポーツ庁,102,19289000,文部科学省,文部科学本省,006,0,559022121000,0,767826128894,718217868847
初等中等教育振興費,文部科学省,スポーツ庁,102,19289000,文部科学省,スポーツ庁,102,1,19289000,0,19289000,14454132
北海道特定特別総合開発事業推進費,国土交通省,国土交通本省,089,4325000000,農林水産省,農林水産本省,756,0,515000000,0,515000000,514998275
北海道特定特別総合開発事業推進費,国土交通省,国土交通本省,089,4325000000,農林水産省,林野庁,757,0,543000000,0,543000000,542989920
北海道特定特別総合開発事業推進費,国土交通省,国土交通本省,089,4325000000,国土交通省,国土交通本省,089,1,3267000000,0,3267000000,3123120000
北海道開発事業費,国土交通省,国土交通本省,086,511908047000,厚生労働省,厚生労働本省,745,0,0,-1322955000,0,0
北海道開発事業費,国土交通省,国土交通本省,086,511908047000,農林水産省,農林水産本省,745,0,133322233000,0,179874006314,125533620355
北海道開発事業費,国土交通省,国土交通本省,086,511908047000,農林水産省,林野庁,746,0,21796000000,0,29932925900,21160548432
北海道開発事業費,国土交通省,国土交通本省,086,511908047000,農林水産省,水産庁,747,0,38567000000,0,51834164582,36373004963
北海道開発事業費,国土交通省,国土交通本省,086,511908047000,国土交通省,国土交通本省,086,1,482158270000,1322955000,589100750326,485131938723
北海道開発事業費,国土交通省,国土交通本省,086,511908047000,環境省,環境本省,745,0,9455000000,0,17536616000,9017284000
南極地域観測事業費,文部科学省,文部科学本省,034,4743571000,総務省,総務本省,701,0,32555000,0,32555000,31167046
南極地域観測事業費,文部科学省,文部科学本省,034,4743571000,総務省,総合通信局,702,0,1679000,0,1679000,1588490
南極地域観測事業費,文部科学省,文部科学本省,034,4743571000,文部科学省,文部科学本省,034,1,167781000,0,167781000,163798364
南極地域観測事業費,文部科学省,文部科学本省,034,4743571000,国土交通省,国土地理院,701,0,47962000,0,47962000,47859677
南極地域観測事業費,文部科学省,文部科学本省,034,4743571000,国土交通省,気象庁,702,0,114289000,0,114289000,113713896
南極地域観測事業費,文部科学省,文部科学本省,034,4743571000,国土交通省,海上保安庁,703,0,28764000,0,28764000,28683385
南極地域観測事業費,文部科学省,文部科学本省,034,4743571000,防衛省,防衛本省,701,0,4348888000,0,4348888000,3736466298
国際観光旅客税財源観光振興費,国土交通省,観光庁,225,32993333000,法務省,出入国在留管理庁,775,0,7200922000,0,7200922000,6070305175
国際観光旅客税財源観光振興費,国土交通省,観光庁,225,32993333000,財務省,税関,775,0,2491042000,0,2491042000,1873601669
国際観光旅客税財源観光振興費,国土交通省,観光庁,225,32993333000,文部科学省,文化庁,775,0,8116238000,0,8253563000,6729842396
国際観光旅客税財源観光振興費,国土交通省,観光庁,225,32993333000,国土交通省,観光庁,225,1,10086000000,0,10145923190,8166903226
国際観光旅客税財源観光振興費,国土交通省,観光庁,225,32993333000,環境省,環境本省,775,0,5099131000,0,6939468008,3263663452
地方創生地域産業基盤整備事業推進費,内閣府,内閣本府,288,0,内閣府,内閣本府,288,1,49500000,0,49500000,0
地方創生地域産業基盤整備事業推進費,内閣府,内閣本府,288,0,経済産業省,経済産業本省,674,0,775500000,0,1890000000,1114500000
地方創生地域産業基盤整備事業推進費,内閣府,内閣本府,288,0,国土交通省,国土交通本省,674,0,8175000000,0,13060500000,2653042700
地方創生基盤整備事業推進費,内閣府,地方創生推進事務局,234,39777000000,内閣府,地方創生推進事務局,234,1,0,-1192769000,0,0
地方創生基盤整備事業推進費,内閣府,地方創生推進事務局,234,39777000000,農林水産省,農林水産本省,815,0,3815986000,183037000,5907202866,3902014643
地方創生基盤整備事業推進費,内閣府,地方創生推進事務局,234,39777000000,農林水産省,林野庁,816,0,7608057000,17845000,12929597876,8057338294
地方創生基盤整備事業推進費,内閣府,地方創生推進事務局,234,39777000000,農林水産省,水産庁,817,0,1945091000,109848000,3164936450,2226218015
地方創生基盤整備事業推進費,内閣府,地方創生推進事務局,234,39777000000,国土交通省,国土交通本省,815,0,26011776000,874575000,39179212040,24353930747
地方創生基盤整備事業推進費,内閣府,地方創生推進事務局,234,39777000000,環境省,環境本省,815,0,396090000,7464000,403554000,333560000
地球環境保全等試験研究費,環境省,環境本省,021,210752000,文部科学省,文部科学本省,781,0,4500000,0,4500000,4499810
地球環境保全等試験研究費,環境省,環境本省,021,210752000,農林水産省,農林水産技術会議,781,0,21000000,0,21000000,21000000
地球環境保全等試験研究費,環境省,環境本省,021,210752000,農林水産省,林野庁,782,0,19632000,0,19632000,19632000
地球環境保全等試験研究費,環境省,環境本省,021,210752000,農林水産省,水産庁,783,0,4000000,0,4000000,3320255
地球環境保全等試験研究費,環境省,環境本省,021,210752000,経済産業省,経済産業本省,781,0,2388000,0,2388000,2387999
地球環境保全等試験研究費,環境省,環境本省,021,210752000,国土交通省,気象庁,782,0,27436000,0,27436000,26134590
地球環境保全等試験研究費,環境省,環境本省,021,210752000,環境省,環境本省,021,1,131796000,0,131796000,122747619
大学等修学支援費,内閣府,こども家庭庁,323,543768827000,文部科学省,文部科学本省,826,0,543504712000,0,543504712000,305869080225
大学等修学支援費,内閣府,こども家庭庁,323,543768827000,厚生労働省,厚生労働本省,826,0,264115000,0,264115000,94670300
宇宙開発利用推進費,内閣府,宇宙開発戦略推進事務局,252,2100000000,内閣府,宇宙開発戦略推進事務局,252,1,1424500000,0,7583379058,6085716721
宇宙開発利用推進費,内閣府,宇宙開発戦略推進事務局,252,2100000000,総務省,総務本省,615,0,430000000,0,1496540840,1043875696
宇宙開発利用推進費,内閣府,宇宙開発戦略推進事務局,252,2100000000,文部科学省,文部科学本省,615,0,3250000000,0,6370000000,4482338978
宇宙開発利用推進費,内閣府,宇宙開発戦略推進事務局,252,2100000000,農林水産省,農林水産技術会議,615,0,300000000,0,810000000,510000000
宇宙開発利用推進費,内閣府,宇宙開発戦略推進事務局,252,2100000000,経済産業省,経済産業本省,615,0,1330000000,0,3569074888,2558675428
宇宙開発利用推進費,内閣府,宇宙開発戦略推進事務局,252,2100000000,国土交通省,国土交通本省,617,0,365000000,0,995000000,618685357
宇宙開発利用推進費,内閣府,宇宙開発戦略推進事務局,252,2100000000,国土交通省,海上保安庁,615,0,0,0,150000000,140998499
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,会計検査院,会計検査院,829,0,601845826,0,681793226,645269302
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣,内閣官房,831,0,4017271309,0,7842834109,5502343879
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣,内閣法制局,830,0,162595125,0,162595125,162595125
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣,人事院,829,0,272387300,0,272387300,271673609
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,内閣本府,829,0,5931700328,0,7358495328,4145992842
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,地方創生推進事務局,837,0,3168000,0,3168000,3168000
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,科学技術・イノベーション推進事務局,830,0,621708023,0,1205929791,919702350
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,日本学術会議,838,0,7058260,0,7058260,7058260
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,官民人材交流センター,839,0,49731625,0,100818625,53788400
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,沖縄総合事務局,831,0,894071706,0,899760706,852872780
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,宮内庁,841,0,297106158,0,297106158,197297608
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,公正取引委員会,836,0,373597422,0,533405422,506874660
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,警察庁,832,0,34130307372,0,36385829166,30657327388
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,個人情報保護委員会,835,0,1209588650,0,1300036650,1159245780
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,カジノ管理委員会,833,0,641573470,0,1246573470,1083113463
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,金融庁,834,0,3734245609,0,5404099589,4062218200
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,消費者庁,840,0,338724320,0,444622320,399122962
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,内閣府,こども家庭庁,842,0,3430305036,0,4286194036,1490797236
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,デジタル庁,デジタル庁,003,1,176048747050,0,269432043497,176020514575
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,総務省,総務本省,829,0,9818429520,0,11521410520,9277400230
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,総務省,管区行政評価局,831,0,528000,0,528000,528000
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,総務省,総合通信局,832,0,8111000,0,8111000,8109428
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,総務省,消防庁,830,0,1845066469,0,1909082469,1267609789
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,法務省,法務本省,829,0,4350533296,0,4633892796,4182565899
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,法務省,検察庁,830,0,3597483185,0,12249107185,11038856967
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,法務省,矯正官署,833,0,2803402480,0,2803402480,2695379798
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,法務省,更生保護官署,834,0,856407457,0,1237329457,592168517
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,法務省,法務局,831,0,53806164008,0,59743673090,50221568463
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,法務省,出入国在留管理庁,832,0,26262500709,0,34106461809,21005568727
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,法務省,公安調査庁,835,0,6118357,0,6118357,6118357
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,外務省,外務本省,829,0,21713466927,0,26278332359,19146067924
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,外務省,在外公館,830,0,365209398,0,365209398,340639109
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,財務省,財務本省,829,0,16986019124,0,17404332731,11562215350
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,財務省,財務局,830,0,3979310045,0,10919641045,10350019122
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,財務省,税関,831,0,15690150194,0,15754565754,14638640997
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,財務省,国税庁,832,0,120402429397,0,146441297085,106914478852
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,文部科学省,文部科学本省,829,0,11751004400,0,12582646400,6035515029
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,文部科学省,文部科学本省所轄機関,830,0,841794020,0,886723020,484303936
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,文部科学省,スポーツ庁,831,0,10373000,0,10373000,10373000
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,文部科学省,文化庁,832,0,712841350,0,712841350,272062196
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,厚生労働省,厚生労働本省,829,0,39452627895,0,65023511627,32053687883
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,厚生労働省,検疫所,830,0,842121765,0,917377765,430664390
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,厚生労働省,国立ハンセン病療養所,831,0,87011503,0,87011503,69237103
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,厚生労働省,厚生労働本省試験研究機関,832,0,472778398,0,537678398,535592484
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,厚生労働省,国立障害者リハビリテーションセンター,833,0,496339475,0,583509575,277434070
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,厚生労働省,地方厚生局,834,0,240666583,0,240666583,240240871
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,厚生労働省,中央労働委員会,836,0,6861547,0,6861547,6861547
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,農林水産省,農林水産本省,829,0,13930420645,0,18098627445,13125050795
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,農林水産省,農林水産本省検査指導機関,832,0,736778791,0,1011527791,609711650
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,農林水産省,農林水産技術会議,833,0,1441779045,0,1458365045,1265157045
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,農林水産省,地方農政局,834,0,236977832,0,236977832,220938774
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,農林水産省,北海道農政事務所,835,0,9953900,0,9953900,9900000
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,農林水産省,林野庁,830,0,1220960012,0,1678590012,707823776
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,農林水産省,水産庁,831,0,1298153124,0,1451116124,1102835480
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,経済産業省,経済産業本省,829,0,12323321198,0,12323321198,7417344071
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,経済産業省,資源エネルギー庁,832,0,381111480,0,381111480,209095480
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,経済産業省,中小企業庁,830,0,1389446742,0,1389446742,1336828373
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,国土交通省,国土交通本省,829,0,17256441201,0,21417160219,16527858101
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,国土交通省,国土技術政策総合研究所,830,0,1017868442,0,1311140742,1040960272
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,国土交通省,国土地理院,831,0,481972280,0,499995280,364061754
情報通信技術調達等適正・効率化推進費,デジタル庁,デジタル庁,003,480327293000,国土交通省,海難審判所,837,0,9596928,0,9596928,9596928
