side,account,ministry,org,code,name,amount,category,extra,令和6年度予算総則15条_公式移替一致,公式移替元項掲載,統合分類,所管,組織,項名,令和6年度成立予算額(千円),補正要求追加額(千円),補正要求修正減少額(千円),補正要求差引額(千円),改令和6年度予算額(千円),補正第1号_同一所管組織項一致,確定分類
決算のみ,一般会計,会計検査院,会計検査院,2,会計検査院施設費,314468000,単純対応なし,補正で新設,False,False,補正新設候補,会計検査院,会計検査院,会計検査院施設費,0.0,314468.0,0.0,314468.0,314468.0,True,補正第1号で確認
決算のみ,一般会計,内閣府,こども家庭庁,873,児童福祉施設整備費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補,,,,,,,,,False,補正第1号では未確認
決算のみ,一般会計,内閣府,個人情報保護委員会,222,個人情報保護委員会施設費,151668000,単純対応なし,補正で新設,False,False,補正新設候補,内閣府,個人情報保護委員会,個人情報保護委員会施設費,0.0,151668.0,0.0,151668.0,151668.0,True,補正第1号で確認
決算のみ,一般会計,内閣府,公正取引委員会,122,公正取引委員会施設費,1310408000,単純対応なし,補正で新設,False,False,補正新設候補,内閣府,公正取引委員会,公正取引委員会施設費,0.0,1310408.0,0.0,1310408.0,1310408.0,True,補正第1号で確認
決算のみ,一般会計,内閣府,内閣本府,59,独立行政法人国立公文書館施設整備費,181528000,単純対応なし,補正で新設,False,False,補正新設候補,内閣府,内閣本府,独立行政法人国立公文書館施設整備費,0.0,181528.0,0.0,181528.0,181528.0,True,補正第1号で確認
決算のみ,一般会計,内閣府,内閣本府,289,地域経済活性化支援費,3100000000,単純対応なし,補正で新設,False,False,補正新設候補,内閣府,内閣本府,地域経済活性化支援費,0.0,3100000.0,0.0,3100000.0,3100000.0,True,補正第1号で確認
決算のみ,一般会計,内閣府,総合海洋政策推進事務局,263,海洋開発等重点戦略推進費,678914000,単純対応なし,補正で新設,False,False,補正新設候補,内閣府,総合海洋政策推進事務局,海洋開発等重点戦略推進費,0.0,678914.0,0.0,678914.0,678914.0,True,補正第1号で確認
決算のみ,一般会計,内閣府,金融庁,153,金融庁施設費,932666000,単純対応なし,補正で新設,False,False,補正新設候補,内閣府,金融庁,金融庁施設費,0.0,932666.0,0.0,932666.0,932666.0,True,補正第1号で確認
決算のみ,一般会計,厚生労働省,厚生労働本省,11,独立行政法人国立病院機構施設整備費,6475812000,単純対応なし,補正で新設,False,False,補正新設候補,厚生労働省,厚生労働本省,独立行政法人国立病院機構施設整備費,0.0,6475812.0,0.0,6475812.0,6475812.0,True,補正第1号で確認
決算のみ,一般会計,厚生労働省,厚生労働本省,191,水道施設災害復旧事業費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補,,,,,,,,,False,補正第1号では未確認
決算のみ,一般会計,厚生労働省,厚生労働本省,195,生活基盤施設耐震化等対策費,0,単純対応なし,決算のみ・0円,False,False,補正新設候補,,,,,,,,,False,補正第1号では未確認
