name,receivers,initial,receiver_budget,transfer,nonzero
情報通信技術調達等適正・効率化推進費,74,480327293000,509690849950,0,0
科学技術イノベーション創造推進費,15,55500000000,73198357000,4958761000,10
沖縄振興交付金事業推進費,7,76255375000,43044776000,0,2
放射能調査研究費,7,1280502000,821292000,0,0
沖縄開発事業費,6,102131581000,117572039000,68590000,2
宇宙開発利用推進費,6,2100000000,5675000000,0,0
南極地域観測事業費,6,4743571000,4574137000,0,0
地球環境保全等試験研究費,6,210752000,78956000,0,0
北海道開発事業費,5,511908047000,203140233000,-1322955000,1
地方創生基盤整備事業推進費,5,39777000000,39777000000,1192769000,5
離島振興事業費,5,56188000000,30470528000,-536242000,1
国際観光旅客税財源観光振興費,4,32993333000,22907333000,0,0
防災・減災対策等強化事業推進費,4,13886000000,281300000,0,0
水資源開発事業費,3,14494996000,10307000000,-2137397000,1
大学等修学支援費,2,543768827000,543768827000,0,0
地方創生地域産業基盤整備事業推進費,2,0,8950500000,0,0
沖縄北部連携促進特別振興対策特定開発事業推進費,2,2619000000,2619000000,0,0
沖縄北部連携促進特別振興事業費,2,4450000000,2363751000,0,0
北海道特定特別総合開発事業推進費,2,4325000000,1058000000,0,0
物価高騰対応地方創生推進費,1,0,1112480380000,995003347000,1
脱炭素成長型経済構造移行推進エネルギー対策特別会計へ繰入,1,0,32935362000,0,0
沖縄国立大学法人施設整備費,1,14262327000,14262327000,0,0
特定国有財産整備費,1,9169059000,4342443000,0,0
沖縄教育振興事業費,1,4440000000,4288949000,325491000,1
特定地域づくり事業推進費,1,560000000,502785000,0,0
沖縄保健衛生諸費,1,1620000,1620000,0,0
初等中等教育振興費,1,521096741000,0,0,0
内閣官房共通費,1,37741585000,0,700540000,1
水道施設整備費,1,3697144000,0,-5837371000,1
