country_code,country_name,canonical_name,name,name_type
fr,フランス共和国,オラノ・リサイクラージュ,オラノ・リサイクラージュ,canonical
fr,フランス共和国,オラノ・リサイクラージュ,Orano Recyclage,alias
no,ノルウェー王国,コングスベルグ・サテライト・サービス(KSAT),コングスベルグ・サテライト・サービス(KSAT),canonical
no,ノルウェー王国,コングスベルグ・サテライト・サービス(KSAT),Kongsberg Satellite Services,alias
no,ノルウェー王国,コングスベルグ・サテライト・サービス(KSAT),KSAT,alias
no,ノルウェー王国,アーカー・ソリューションズ・マレーシア,アーカー・ソリューションズ・マレーシア,canonical
no,ノルウェー王国,アーカー・ソリューションズ・マレーシア,Aker Solutions Malaysia,alias
gb,イギリス,メトロール・テクノロジー,メトロール・テクノロジー,canonical
gb,イギリス,メトロール・テクノロジー,Metrol Technology,alias
cn,中華人民共和国,上海船舶設計研究院(SDARI),上海船舶設計研究院(SDARI),canonical
cn,中華人民共和国,上海船舶設計研究院(SDARI),Shanghai Merchant Ship Design & Research Institute,alias
us,アメリカ合衆国,ドノホー建設,ドノホー建設,canonical
us,アメリカ合衆国,ドノホー建設,Donohoe Construction Company,alias
jp,日本,土屋コリア,土屋コリア,canonical
jp,日本,土屋コリア,TSUCHIYA KOREA,alias
jp,日本,森ビル・パロアルト,森ビル・パロアルト,canonical
jp,日本,森ビル・パロアルト,Mori Building Palo Alto,alias
us,アメリカ合衆国,ノートン・リリー・インターナショナル,ノートン・リリー・インターナショナル,canonical
us,アメリカ合衆国,ノートン・リリー・インターナショナル,NORTON LILLY INTERNATIONAL,alias
dk,デンマーク,マースク・トレーニング,マースク・トレーニング,canonical
dk,デンマーク,マースク・トレーニング,Maersk Training,alias
us,アメリカ合衆国,フォーカス・デザイン・ビルダーズ,フォーカス・デザイン・ビルダーズ,canonical
us,アメリカ合衆国,フォーカス・デザイン・ビルダーズ,Focus Design Builders,alias
us,アメリカ合衆国,DNXベンチャーズ管理会社,DNXベンチャーズ管理会社,canonical
us,アメリカ合衆国,DNXベンチャーズ管理会社,DNX Management Company,alias
us,アメリカ合衆国,エネルギー・インテリジェンス・グループ,エネルギー・インテリジェンス・グループ,canonical
us,アメリカ合衆国,エネルギー・インテリジェンス・グループ,Energy Intelligence Group,alias
us,アメリカ合衆国,エクスポネント,エクスポネント,canonical
us,アメリカ合衆国,エクスポネント,Exponent,alias
us,アメリカ合衆国,IDEOエルピー,IDEOエルピー,canonical
us,アメリカ合衆国,IDEOエルピー,IDEO LP,alias
us,アメリカ合衆国,IDEOエルピー,IDEO LPIDEO LP,alias
us,アメリカ合衆国,ニューヨーク科学アカデミー,ニューヨーク科学アカデミー,canonical
us,アメリカ合衆国,ニューヨーク科学アカデミー,The New York Academy of Science,alias
id,インドネシア共和国,プタ・チプタブアナ・スクセス・レスタリ,プタ・チプタブアナ・スクセス・レスタリ,canonical
id,インドネシア共和国,プタ・チプタブアナ・スクセス・レスタリ,PT. Ciptabuana Sukses Lestari,alias
ca,カナダ,石油技術研究センター(PTRC),石油技術研究センター(PTRC),canonical
ca,カナダ,石油技術研究センター(PTRC),Petroleum Technology Research Centre,alias
fr,フランス共和国,ジオストック,ジオストック,canonical
fr,フランス共和国,ジオストック,GEOSTOCK,alias
us,アメリカ合衆国,全米日米協会(NAJAS),全米日米協会(NAJAS),canonical
us,アメリカ合衆国,全米日米協会(NAJAS),NAJAS,alias
cn,中華人民共和国,アリババ,アリババ,canonical
cn,中華人民共和国,アリババ,Alibaba,alias
us,アメリカ合衆国,S&Pグローバル・プラッツ,S&Pグローバル・プラッツ,canonical
us,アメリカ合衆国,S&Pグローバル・プラッツ,S&P Global Platts,alias
us,アメリカ合衆国,グレースノート,グレースノート,canonical
us,アメリカ合衆国,グレースノート,Gracenote,alias
us,アメリカ合衆国,カーネギーメロン大学,カーネギーメロン大学,canonical
us,アメリカ合衆国,カーネギーメロン大学,Carnegie Mellon University,alias
gb,イギリス,クリフォード・チャンス,クリフォード・チャンス,canonical
gb,イギリス,クリフォード・チャンス,Clifford Chance LLP,alias
id,インドネシア共和国,JGCインドネシア,JGCインドネシア,canonical
id,インドネシア共和国,JGCインドネシア,PT JGC INDONESIA,alias
fr,フランス共和国,アルテリア,アルテリア,canonical
fr,フランス共和国,アルテリア,Artelia,alias
